;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
4958615;2011-07-26;CH0012255151;CHF;3422;49817495.4
6272899;2011-07-27;CH0012255151;CHF;3507;64647559.7
2098300;2011-07-28;CH0012255151;CHF;9767;168320477.6
149866;2011-07-29;CH0012255151;CHF;5793;95049675.8
322522;2011-08-02;CH0012255151;CHF;9304;146296886.0
766046;2011-08-03;CH0012255151;CHF;9627;165838018.1
1012331;2011-08-04;CH0012255151;CHF;10966;189986468.1
4391305;2011-08-05;CH0012255151;CHF;17612;310697458.7
2814075;2011-08-08;CH0012255151;CHF;11873;178389052.9
6167438;2011-08-09;CH0012255151;CHF;15813;241993215.5
3505243;2011-08-10;CH0012255151;CHF;11772;192054085.3
2616815;2011-08-11;CH0012255151;CHF;11315;177275098.3
3085261;2011-08-12;CH0012255151;CHF;11018;191107784.6
2740022;2011-08-15;CH0012255151;CHF;6690;113917976.3
2838899;2011-08-16;CH0012255151;CHF;6944;113496044.4
5945087;2011-08-17;CH0012255151;CHF;4292;72465276.4
790978;2011-08-18;CH0012255151;CHF;5965;105187113.9
2961829;2011-08-19;CH0012255151;CHF;10827;170344991.1
1777992;2011-08-22;CH0012255151;CHF;8111;123776992.1
5082419;2011-08-23;CH0012255151;CHF;5843;86281824.2
5303792;2011-08-24;CH0012255151;CHF;5773;94938059.7
2937260;2011-08-25;CH0012255151;CHF;6314;97974847.0
2838937;2011-08-26;CH0012255151;CHF;6364;109209283.1
2986417;2011-08-29;CH0012255151;CHF;3725;61766884.3
51331;2011-08-30;CH0012255151;CHF;5216;84216779.8
6167519;2011-08-31;CH0012255151;CHF;8847;143116010.7
4958753;2011-09-01;CH0012255151;CHF;4950;77326963.7
5057709;2011-09-02;CH0012255151;CHF;4948;95111971.1
5624054;2011-09-05;CH0012255151;CHF;4130;69963966.7
1580530;2011-09-06;CH0012255151;CHF;9181;146699181.8
2419456;2011-09-07;CH0012255151;CHF;4829;92332352.5
4465298;2011-09-08;CH0012255151;CHF;3960;61327763.1
1259474;2011-09-09;CH0012255151;CHF;4907;70733489.3
4712383;2011-09-12;CH0012255151;CHF;7626;131014211.9
4317780;2011-09-13;CH0012255151;CHF;5285;84873546.0
5451627;2011-09-14;CH0012255151;CHF;6569;113216584.0
2246366;2011-09-15;CH0012255151;CHF;6841;106502082.2
5525421;2011-09-16;CH0012255151;CHF;4315;139332753.0
4244061;2011-09-19;CH0012255151;CHF;3812;48619289.2
4293320;2011-09-20;CH0012255151;CHF;3579;59902078.0
4440825;2011-09-21;CH0012255151;CHF;3457;51226291.0
1457118;2011-09-22;CH0012255151;CHF;11396;164783279.2
150072;2011-09-23;CH0012255151;CHF;7247;111467658.5
691917;2011-09-26;CH0012255151;CHF;4805;70418408.2
6043967;2011-09-27;CH0012255151;CHF;4451;77358784.1
